2022-10-22 10:33:30 Страница: 37, ID: 13702, KP_ID: 1355075
2022-10-22 10:33:32 Страница: 38, ID: 13704, KP_ID: 1331271
2022-10-22 10:33:32 Страница: 39, ID: 13706, KP_ID: 1045251
2022-10-22 10:33:32 Страница: 40, ID: 13707, KP_ID: 1273764
2022-10-22 10:33:32 Страница: 41, ID: 13708, KP_ID: 1088673
2022-10-22 10:33:33 Страница: 42, ID: 13710, KP_ID: 1000383
2022-10-22 10:33:33 Страница: 43, ID: 13712, KP_ID: 1346605
2022-10-22 10:33:33 Страница: 44, ID: 13715, KP_ID: 1326830
2022-10-22 10:33:34 Страница: 45, ID: 13716, KP_ID: 1367879
2022-10-22 10:33:34 Страница: 46, ID: 13720, KP_ID: 1357502
2022-10-22 10:33:34 Страница: 47, ID: 13722, KP_ID: 1378993
2022-10-22 10:33:35 Страница: 48, ID: 13725, KP_ID: 1166326
2022-10-22 10:33:35 Страница: 49, ID: 13726, KP_ID: 1346006
2022-10-22 10:33:35 Страница: 50, ID: 13729, KP_ID: 1189670
2022-10-22 10:33:35 Страница: 51, ID: 13738, KP_ID: 1101306
2022-10-22 10:33:36 Страница: 52, ID: 13742, KP_ID: 1296936
2022-10-22 10:33:36 Страница: 53, ID: 13745, KP_ID: 1236567
2022-10-22 10:33:37 Страница: 54, ID: 13746, KP_ID: 1198277
2022-10-22 10:33:38 Страница: 55, ID: 13747, KP_ID: 1244418
2022-10-22 10:33:38 Страница: 56, ID: 13749, KP_ID: 1290806
2022-10-22 10:33:38 Страница: 57, ID: 13750, KP_ID: 1275413
2022-10-22 10:33:39 Страница: 58, ID: 13751, KP_ID: 972796
2022-10-22 10:33:39 Ошибка: Exception: Column 'country_id' cannot be null in /media/sf_Repos/randomizer/lib/SQL.class.php:44
Stack trace:
#0 /media/sf_Repos/randomizer/lib/SQL.class.php(63): SQL->execQuery()
#1 /media/sf_Repos/randomizer/lib/SQL.class.php(228): SQL->insert()
#2 /media/sf_Repos/randomizer/model/RndFilm.class.php(284): SQL->uniInsertArray()
#3 /media/sf_Repos/randomizer/controller/ParseController.class.php(463): RndFilm->updateFilm()
#4 /media/sf_Repos/randomizer/lib/App.class.php(75): ParseController->kinopoiskapiunofficialfilm()
#5 /media/sf_Repos/randomizer/lib/App.class.php(15): App->web()
#6 /media/sf_Repos/randomizer/App.php(5): App->init()
#7 /media/sf_Repos/randomizer/www/index.php(3): include_once('/media/sf_Repos...')
#8 {main}
2022-10-22 10:33:39 Страница: 59, ID: 13752, KP_ID: 1261952
2022-10-22 10:33:39 Страница: 60, ID: 13757, KP_ID: 809055
2022-10-22 10:33:40 Страница: 61, ID: 13759, KP_ID: 1263496
2022-10-22 10:33:41 Страница: 62, ID: 13760, KP_ID: 1244945
2022-10-22 10:33:41 Страница: 63, ID: 13762, KP_ID: 1245589
2022-10-22 10:33:41 Страница: 64, ID: 13763, KP_ID: 1337339
2022-10-22 10:33:42 Страница: 65, ID: 13766, KP_ID: 1334732
2022-10-22 10:33:42 Страница: 66, ID: 13767, KP_ID: 1309668
2022-10-22 10:33:42 Страница: 67, ID: 13768, KP_ID: 1328490
2022-10-22 10:33:43 Страница: 68, ID: 13769, KP_ID: 1345725
2022-10-22 10:33:44 Страница: 69, ID: 13776, KP_ID: 1330151
2022-10-22 10:35:20 Страница: 0, ID: 13769, KP_ID: 1345725
2022-10-22 10:35:21 Страница: 1, ID: 13776, KP_ID: 1330151
2022-10-22 10:35:21 Страница: 2, ID: 13777, KP_ID: 1321495
2022-10-22 10:35:21 Страница: 3, ID: 13778, KP_ID: 1263065
2022-10-22 10:35:22 Страница: 4, ID: 13779, KP_ID: 1120448
2022-10-22 10:35:22 Страница: 5, ID: 13781, KP_ID: 1291182
2022-10-22 10:35:22 Страница: 6, ID: 13783, KP_ID: 1355621
2022-10-22 10:35:23 Страница: 7, ID: 13787, KP_ID: 679028
2022-10-22 10:35:23 Страница: 8, ID: 13791, KP_ID: 487361
2022-10-22 10:35:23 Страница: 9, ID: 13792, KP_ID: 1375343
2022-10-22 10:35:23 Страница: 10, ID: 13793, KP_ID: 1146303
2022-10-22 10:35:24 Страница: 11, ID: 13799, KP_ID: 1291855
2022-10-22 10:35:24 Страница: 12, ID: 13801, KP_ID: 1184577
2022-10-22 10:35:24 Страница: 13, ID: 13802, KP_ID: 1192725
2022-10-22 10:35:25 Страница: 14, ID: 13804, KP_ID: 1272222
2022-10-22 10:35:25 Страница: 15, ID: 13805, KP_ID: 1237959
2022-10-22 10:35:25 Страница: 16, ID: 13808, KP_ID: 1274303
2022-10-22 10:35:26 Страница: 17, ID: 13814, KP_ID: 1256564
2022-10-22 10:35:26 Страница: 18, ID: 13818, KP_ID: 1237488
2022-10-22 10:35:26 Страница: 19, ID: 13821, KP_ID: 1202192
2022-10-22 10:35:27 Страница: 20, ID: 13822, KP_ID: 1311466
2022-10-22 10:35:27 Страница: 21, ID: 13825, KP_ID: 1355575
2022-10-22 10:35:27 Страница: 22, ID: 13826, KP_ID: 1139531
2022-10-22 10:35:27 Страница: 23, ID: 13828, KP_ID: 1255550
2022-10-22 10:35:28 Страница: 24, ID: 13829, KP_ID: 1301899
2022-10-22 10:35:28 Страница: 25, ID: 13832, KP_ID: 1272638
2022-10-22 10:35:28 Страница: 26, ID: 13833, KP_ID: 1190299
2022-10-22 10:35:29 Страница: 27, ID: 13834, KP_ID: 1253992
2022-10-22 10:35:29 Страница: 28, ID: 13836, KP_ID: 1275788
2022-10-22 10:35:29 Страница: 29, ID: 13837, KP_ID: 1046969
2022-10-22 10:35:30 Страница: 30, ID: 13839, KP_ID: 1304560
2022-10-22 10:35:31 Страница: 31, ID: 13842, KP_ID: 1177509
2022-10-22 10:35:31 Страница: 32, ID: 13843, KP_ID: 1331265
2022-10-22 10:35:32 Страница: 33, ID: 13844, KP_ID: 1253186
2022-10-22 10:35:32 Страница: 34, ID: 13845, KP_ID: 1253633
2022-10-22 10:35:32 Страница: 35, ID: 13846, KP_ID: 1060511
2022-10-22 10:35:33 Страница: 36, ID: 13847, KP_ID: 1190331
2022-10-22 10:35:33 Страница: 37, ID: 13848, KP_ID: 1209722
2022-10-22 10:35:33 Страница: 38, ID: 13849, KP_ID: 1253983
2022-10-22 10:35:34 Страница: 39, ID: 13850, KP_ID: 1209712
2022-10-22 10:35:34 Страница: 40, ID: 13854, KP_ID: 1236234
2022-10-22 10:35:34 Страница: 41, ID: 13855, KP_ID: 1321799
2022-10-22 10:35:35 Страница: 42, ID: 13856, KP_ID: 1227963
2022-10-22 10:35:35 Страница: 43, ID: 13857, KP_ID: 1344030
2022-10-22 10:35:35 Страница: 44, ID: 13858, KP_ID: 1231021
2022-10-22 10:35:36 Страница: 45, ID: 13859, KP_ID: 1372472
2022-10-22 10:35:36 Страница: 46, ID: 13860, KP_ID: 1261996
2022-10-22 10:35:36 Страница: 47, ID: 13862, KP_ID: 1229272
2022-10-22 10:35:36 Страница: 48, ID: 13864, KP_ID: 1325844
2022-10-22 10:35:37 Страница: 49, ID: 13865, KP_ID: 462193
2022-10-22 10:35:37 Страница: 50, ID: 13866, KP_ID: 1245545
2022-10-22 10:35:37 Страница: 51, ID: 13867, KP_ID: 1345974
2022-10-22 10:35:38 Страница: 52, ID: 13870, KP_ID: 910085
2022-10-22 10:35:38 Страница: 53, ID: 13871, KP_ID: 1246750
2022-10-22 10:35:38 Страница: 54, ID: 13874, KP_ID: 689489
2022-10-22 10:35:39 Страница: 55, ID: 13877, KP_ID: 1272833
2022-10-22 10:35:39 Страница: 56, ID: 13878, KP_ID: 1048602
2022-10-22 10:35:39 Страница: 57, ID: 13879, KP_ID: 1291065
2022-10-22 10:35:40 Страница: 58, ID: 13881, KP_ID: 1348105
2022-10-22 10:35:41 Страница: 59, ID: 13882, KP_ID: 1200321
2022-10-22 10:35:41 Страница: 60, ID: 13884, KP_ID: 1356066
2022-10-22 10:35:42 Страница: 61, ID: 13886, KP_ID: 1236796
2022-10-22 10:35:42 Страница: 62, ID: 13887, KP_ID: 279091
2022-10-22 10:35:42 Страница: 63, ID: 13889, KP_ID: 582208
2022-10-22 10:35:42 Страница: 64, ID: 13890, KP_ID: 758178
2022-10-22 10:35:43 Страница: 65, ID: 13891, KP_ID: 1191022
2022-10-22 10:35:43 Страница: 66, ID: 13893, KP_ID: 1412164
